"pair_id","contrast_family","target","record_id","format","content","review_status"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-01","decision_note","Situation: A museum must choose a new ticketing layout before the holiday season.
Shared facts [history-01-01-fact]: The A/B test covers weekdays only; the vendor needs a production choice in nine days; either layout can be rolled back overnight.
Decision: Extend the test through one weekend and reserve the reversible deployment slot.
Reasoning: Both choices preserve a correction path, but they price the missing weekend signal differently.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-02","message_excerpt","Situation: A field team is selecting one of two soil sensors for a six-month study.
Shared facts [history-01-02-fact]: Sensor K is more precise in the lab; Sensor M has three years of field maintenance records; the planting window closes in twelve days.
Message excerpt: Run both sensors side by side for four days at the field site before ordering the full set.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-03","retrospective","Situation: A volunteer network is deciding whether to open a second evening shift.
Shared facts [history-01-03-fact]: Demand estimates vary by 35%; trained coverage is confirmed for six weeks; waiting another month loses the donated venue.
Retrospective: Use two pop-up evenings to measure arrivals before committing the recurring roster.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-04","structured_log","Situation: A design team must choose whether to translate a guide before usability findings arrive.
Shared facts [history-01-04-fact]: Translation takes three weeks; the launch is in four weeks; prior products show mixed demand across the two target regions.
log.decision=Translate the critical onboarding pages first and wait for the moderated sessions before expanding.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-05","decision_note","Situation: A laboratory freezer alarm has one unexplained late notification.
Shared facts [history-01-05-fact]: The delay cannot be reproduced; a firmware patch is available; the patch changes an untested failover path.
Decision: Reproduce the failover path in a spare unit before installing the patch.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-06","message_excerpt","Situation: A childcare center discovers that both proposed playground surfaces exceed the legal lead limit.
Shared facts [history-01-06-fact]: The inspection is confirmed by two accredited tests and children cannot use the area until remediation.
Message excerpt: Reject both surfaces and begin remediation under the statutory protocol.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-07","retrospective","Situation: A public grant deadline arrives while one applicant's ownership disclosure is missing.
Shared facts [history-01-07-fact]: The disclosure is mandatory and cannot be cured after award; funds can be reallocated next quarter.
Retrospective: Exclude the incomplete application and preserve the documented reallocation route.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_a","record-08","structured_log","Situation: A restaurant is choosing a seasonal supplier after its regular supplier loses capacity.
Shared facts [history-01-08-fact]: Supplier A can cover 70% immediately with known quality; Supplier B can cover all volume but has one incomplete audit; menu printing starts tomorrow.
log.decision=Split the first order, complete Supplier B's audit, and retain an editable menu insert.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_b","record-01","decision_note","Situation: A museum must choose a new ticketing layout before the holiday season.
Shared facts [history-01-01-fact]: The A/B test covers weekdays only; the vendor needs a production choice in nine days; either layout can be rolled back overnight.
Decision: Select the weekday winner now, deploy to half the kiosks, and review weekend abandonment after three days.
Reasoning: Both choices preserve a correction path, but they price the missing weekend signal differently.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_b","record-02","message_excerpt","Situation: A field team is selecting one of two soil sensors for a six-month study.
Shared facts [history-01-02-fact]: Sensor K is more precise in the lab; Sensor M has three years of field maintenance records; the planting window closes in twelve days.
Message excerpt: Order Sensor M for the first plots and reserve two positions for a later comparison.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_b","record-03","retrospective","Situation: A volunteer network is deciding whether to open a second evening shift.
Shared facts [history-01-03-fact]: Demand estimates vary by 35%; trained coverage is confirmed for six weeks; waiting another month loses the donated venue.
Retrospective: Open the six-week shift while the venue is available and set a continuation threshold at week four.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_b","record-04","structured_log","Situation: A design team must choose whether to translate a guide before usability findings arrive.
Shared facts [history-01-04-fact]: Translation takes three weeks; the launch is in four weeks; prior products show mixed demand across the two target regions.
log.decision=Translate the complete guide now and schedule a post-launch terminology review.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_b","record-05","decision_note","Situation: A laboratory freezer alarm has one unexplained late notification.
Shared facts [history-01-05-fact]: The delay cannot be reproduced; a firmware patch is available; the patch changes an untested failover path.
Decision: Patch one monitored freezer tonight and expand only after two clean alarm cycles.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_b","record-06","message_excerpt","Situation: A childcare center discovers that both proposed playground surfaces exceed the legal lead limit.
Shared facts [history-01-06-fact]: The inspection is confirmed by two accredited tests and children cannot use the area until remediation.
Message excerpt: Reject both surfaces and begin remediation under the statutory protocol.","pending_human_audit"
"pair-01","value_of_information_vs_decision_timeliness","target_b","record-07","retrospective","Situation: A public grant deadline arrives while one applicant's ownership disclosure is missing.
Shared facts [history-01-07-fact]: The disclosure is mandatory and cannot be cured after award; funds can be reallocated next quarter.
Retrospective: Exclude the incomplete application and preserve the documented reallocation route.","pending_human_audit"
