"case_id","pair_id","contrast_family","domain","transfer_type","form","task_archetype","task_mode","instruction","document_titles","hard_constraint","review_status"
"pair-01-missed-delivery-window","pair-01","value_of_information_vs_decision_timeliness","product_service_operations","near_transfer","dialogue","recommendation","bounded","Advise the service director whether to change the failed-delivery workflow before the autumn peak. Give a concrete next move and answer the concern that another study will waste the remaining preparation window.","Peak readiness calendar | Two-week callback trial | Autumn change capacity | Rural escalation review | Dispatcher feedback","The escalation line must remain available and any operational change must be reversible within 48 hours.","pending_human_audit"
"pair-01-governance-migration-sequence","pair-01","value_of_information_vs_decision_timeliness","organizational_design","far_transfer","professional_artifact","allocation_prioritization","open_ended","Write a migration memo allocating purchasing authorities between the central committee and business units. Prioritize the next stage and state what evidence would justify moving another authority before the annual budget lock.","Floor 4 meeting-room closure | FY27 budget lock | South division readiness note | Nondelegable purchasing controls | North division delegation pilot","Annual budget controls and conflict-of-interest review cannot be delegated.","pending_human_audit"
"pair-01-emergency-bypass-proposal","pair-01","value_of_information_vs_decision_timeliness","security_reliability","boundary_condition","dialogue","design_threshold","bounded","Respond to the incident commander by designing a compliant deployment gate for the next twelve hours. Explain why the proposed bypass is outside the boundary and define when urgent releases may proceed.","Artifact verification control | Twelve-hour verification bypass | Verified rollback and hotfix path | Catering order for incident room | Deployment queue at 14:30","Unsigned production artifacts may not be deployed under the current incident authority.","pending_human_audit"
"pair-01-fund-commitment-window","pair-01","value_of_information_vs_decision_timeliness","procurement_portfolio_allocation","cue_conflict","professional_artifact","critique_revision","open_ended","Critique the proposal to fund A and B at their full requests, reserve nothing for C, and fund accessibility D at its minimum. Produce a revised $600,000 allocation that addresses the missing replication result and quarter-end expiry.","Quarter-end commitment rules | Concentration and delivery review | Innovation proposals and requests | Autumn conference travel cap | Strategic case for proposal C","No proposal may exceed its request and at least $100,000 must remain for the statutory accessibility program.","pending_human_audit"
"pair-02-observatory-instrument-platform","pair-02","reversibility_and_option_value_vs_benefits_of_commitment","scientific_technical_investigation","near_transfer","professional_artifact","recommendation","bounded","Write an instrument-platform recommendation for the next observing season. Choose between the reconfigurable and integrated arrays and define the evidence or failure condition that would reopen the choice.","Capital award conditions | Observing-season commissioning window | Array bench comparison | Public tour route | Five-year maintenance scenarios","The selected platform must cover the two approved spectral bands and begin commissioning by 15 October.","pending_human_audit"
"pair-02-learning-platform-contract","pair-02","reversibility_and_option_value_vs_benefits_of_commitment","education_coaching","far_transfer","dialogue","allocation_prioritization","open_ended","Advise the learning director how to allocate next year's courses between the integrated platform and retained modular tools. Prioritize migration scope while accounting for accessibility, switching cost, and licenses expiring in six weeks.","Learning platform accessibility audit | Summer workshop lunch menu | Current tool expiration | Platform P three-year offer | Teacher trial notes","Every learner must retain captioning, keyboard navigation, and export of completed work.","pending_human_audit"
"pair-02-irreversible-billing-cutover","pair-02","reversibility_and_option_value_vs_benefits_of_commitment","product_service_operations","boundary_condition","professional_artifact","design_threshold","bounded","Design a billing cutover gate that addresses the proposed one-way migration and complies with the customer-balance control. Define the reversible sequence and exact go/no-go condition.","Accelerated cutover proposal | Customer balance migration control | Second migration rehearsal | Dual-read rollback option | Invoice logo refresh","The ledger migration may not become irreversible until opening balances reconcile to the signed control total.","pending_human_audit"
"pair-02-river-monitoring-commitment","pair-02","reversibility_and_option_value_vs_benefits_of_commitment","public_resource_allocation","cue_conflict","dialogue","critique_revision","open_ended","Critique the eight-fixed/four-mobile network proposal and provide a revised twelve-station design if warranted. Explain how flexibility, continuity, and the regulated minimum shape the revision.","Regulated reaches and minimum coverage | Unobserved storm runoff | Five-year station pricing | River cleanup volunteer roster | Monitoring network options","At least one station must continuously monitor each of the four regulated reaches.","pending_human_audit"
"pair-03-regional-intake-variants","pair-03","local_adaptation_vs_coordination_and_standardization","organizational_design","near_transfer","dialogue","recommendation","bounded","Advise the operations council on how much freedom three regional intake teams should have when the new service launches. Recommend a shared boundary and the evidence needed to approve a regional variant.","Shared intake controls | North assisted-intake pilot | Regional intake conditions | Coast office furniture move | Single intake sequence proposal","Identity verification, safeguarding escalation, and consent wording must remain identical in every region.","pending_human_audit"
"pair-03-incident-command-handoffs","pair-03","local_adaptation_vs_coordination_and_standardization","security_reliability","far_transfer","professional_artifact","allocation_prioritization","open_ended","Allocate incident-handoff fields and decision rights between the shared command layer and database, network, and application teams. Prioritize the elements that must be standardized while preserving necessary specialist detail.","Incident handoff minimum contract | Quarterly first-aid training | Review of 34 cross-team incidents | Database team's handoff sheet | On-call rotation map","Every handoff must identify incident owner, customer impact, containment state, and next escalation time.","pending_human_audit"
"pair-03-statutory-vaccine-allocation","pair-03","local_adaptation_vs_coordination_and_standardization","public_resource_allocation","boundary_condition","dialogue","design_threshold","bounded","Respond to regional clinic leads by designing a common allocation rule for the limited vaccine shipment. Define the eligibility threshold and which local delivery adaptations remain permissible.","Shipment and second-dose obligations | Clinic parking changes | Statutory priority order | Clinic lead requests | Eligible residents and uptake","The statutory eligibility order cannot vary by clinic; each clinic must reserve second doses already promised.","pending_human_audit"
